Model Type: Base Actor Critic
Window Size: 10
Target KL: 0.002
Max LR: .1
Min LR: 1e-6
Actor Layers: 3
Critic Layers: 3
Action Type: Discrete
Max Positions: 3
Shares To Buy: 1000
Dropout: None
Unrealized Gain: Yes

step avg_rew ev_before ev_after act_loss crit_loss kl_dist avg_ent
129 0.0000 0.4165  0.4175 0.0221  3.0879 0.0045 0.4151
130 0.0000 0.7818  0.7837 -0.0017  5.6407 0.0366 0.6814
131 0.0000 0.6999  0.6952 0.0035  6.9166 0.0065 0.6626
132 0.0000 0.7263  0.7261 0.0281  13.6774 0.0024 0.4022
133 0.0000 0.7678  0.7642 0.0222  4.4581 0.0007 0.5940
134 -184.0200 0.2484  0.2490 -0.0443  5.7040 0.0004 0.5635
135 0.0000 0.8269  0.8253 -0.0070  5.5510 0.0003 0.6696
136 -11.9900 0.3938  0.3910 -0.0175  2.1492 0.0013 0.6829
137 0.0000 0.6574  0.6569 0.0603  7.8667 0.0062 0.4638
138 0.0000 0.7878  0.7846 -0.0059  2.0157 0.0043 0.6918
139 0.0000 0.7695  0.7646 0.0017  2.8049 0.0016 0.6399
140 0.0000 0.4784  0.4795 0.0161  2.1275 0.0028 0.5032
141 0.0000 0.7738  0.7710 0.0236  8.0437 0.0031 0.6257
142 -940.5800 0.2827  0.2821 -0.0550  13.3702 0.0032 0.6605
143 -15.9600 0.2785  0.2786 -0.0057  2.9967 0.0028 0.6927
144 0.0000 0.8194  0.8169 -0.0068  2.4257 0.0014 0.6414
145 0.0000 0.8117  0.8100 0.0420  5.0710 0.0067 0.6095
146 0.0000 0.7551  0.7546 0.0196  9.7154 0.0029 0.5345
147 -108.5000 0.2292  0.2281 -0.0145  9.7140 0.0011 0.6829
148 0.0000 0.8691  0.8637 0.0020  1.5603 0.0400 0.6734
149 0.0000 0.5867  0.5839 0.0072  2.3706 0.0004 0.5686
150 0.0000 0.6968  0.6956 0.0395  7.3008 0.0005 0.5051
151 0.0000 0.4760  0.4764 -0.0489  2.7390 0.0115 0.4680
152 0.0000 0.8380  0.8343 0.0033  2.8634 0.0007 0.6439
153 -1507.1800 0.2774  0.2774 -0.0325  15.6896 0.0002 0.7164
154 0.0000 0.7797  0.7786 0.0414  7.7648 0.0174 0.5848
155 0.0000 0.7336  0.7302 0.0544  2.8603 0.0018 0.5528
156 -100.3600 0.2478  0.2454 -0.0164  8.2741 0.0004 0.6608
157 0.0000 0.7504  0.7467 0.0349  2.0737 0.0002 0.5394
158 0.0000 0.7108  0.7097 0.0473  7.4907 0.0071 0.5835
159 0.0000 0.7570  0.7529 -0.0052  8.1684 0.0040 0.6811
160 0.0000 0.7217  0.7215 0.0098  5.3271 0.0219 0.5602
161 0.0000 0.8040  0.7999 -0.0006  2.4157 0.0018 0.6002
162 0.0000 0.6536  0.6426 0.0487  0.3067 0.0000 0.6098
163 0.0000 0.8259  0.8134 0.0282  0.7095 0.0001 0.6302
164 0.0000 0.7643  0.7621 0.1126  2.2377 0.0051 0.4005
165 0.0000 0.7027  0.7018 -0.0206  7.4248 0.0097 0.3863
166 0.0000 0.7560  0.7471 0.0808  1.1206 0.0330 0.3697
167 -11.9900 0.6156  0.6159 0.0147  3.2921 0.0023 0.5267
168 0.0000 0.8122  0.8048 0.0748  1.0248 0.0491 0.5527
169 0.0000 0.7141  0.7137 -0.0041  5.2131 0.0006 0.2215
170 0.0000 0.7184  0.7161 0.0895  2.0920 0.0002 0.5028
171 0.0000 0.7181  0.7167 0.0461  1.6987 0.0041 0.6019
172 0.0000 0.7658  0.7610 0.0887  2.1266 0.0029 0.4715
173 0.0000 0.7769  0.7774 0.0085  2.9017 0.0003 0.4856
174 0.0000 0.7503  0.7448 0.0627  1.5686 0.0040 0.2169
175 0.0000 0.7259  0.7256 -0.0172  4.2876 0.0011 0.3171
176 0.0000 0.6914  0.6919 0.0821  1.0242 0.0002 0.2521
177 0.0000 0.7286  0.7282 -0.0596  5.5520 0.0043 0.1741
178 0.0000 0.5365  0.5356 0.0375  1.1525 0.0112 0.2739
179 0.0000 0.7202  0.7182 -0.0433  7.1634 0.0050 0.5010
180 0.0000 0.6370  0.6337 -0.0334  7.0504 0.0002 0.5498
181 0.0000 0.7637  0.7638 0.0045  2.3107 0.0005 0.5239
182 0.0000 0.7280  0.7234 -0.0378  4.6378 0.0188 0.6225
183 0.0000 0.5700  0.5675 0.0560  0.9950 0.0004 0.4022
184 0.0000 0.6231  0.6226 0.0331  3.4700 0.0062 0.4671
185 -29.3900 0.4798  0.4765 -0.0098  4.8563 0.0064 0.6709
186 0.0000 0.7023  0.6992 0.0618  1.0205 0.0011 0.2262
187 0.0000 0.5440  0.5420 -0.0162  2.4722 0.0006 0.1461
188 0.0000 0.6852  0.6837 -0.0202  5.1150 0.0026 0.0851
189 0.0000 0.6858  0.6809 -0.0006  0.9248 0.0020 0.6052
190 0.0000 0.6451  0.6447 0.0099  0.8704 0.0294 0.5615
191 0.0000 0.6486  0.6462 -0.0471  2.9943 0.0582 0.2725
192 0.0000 0.7354  0.7345 0.1093  0.6712 0.0042 0.3403
193 0.0000 0.7048  0.7016 0.0182  4.0364 0.0063 0.6632
194 0.0000 0.7974  0.7952 -0.0033  4.3407 0.0030 0.4893
195 0.0000 0.5570  0.5569 0.0028  0.9032 0.0156 0.5633
196 0.0000 0.7303  0.7303 0.0226  3.4184 0.0046 0.4815
197 0.0000 0.6279  0.6207 0.0786  0.8642 0.0009 0.5383
198 0.0000 0.6814  0.6805 0.0867  0.8634 0.0006 0.5407
199 -11.9900 0.3708  0.3710 0.0165  0.9150 0.0007 0.5826
100 0.0000 0.6401  0.6386 0.1066  1.6260 0.0343 0.4802
101 0.0000 0.7010  0.7046 0.0252  1.6998 0.0037 0.6671
102 0.0000 0.4923  0.4898 -0.0299  0.7297 0.0001 0.4987
103 -61.7800 0.1664  0.1664 -0.0056  2.5210 0.0003 0.6194
104 0.0000 0.7465  0.7487 -0.0105  0.8074 0.0030 0.6782
105 0.0000 0.7101  0.7143 0.0361  0.8868 0.0062 0.6469
106 0.0000 0.7774  0.7763 -0.0155  2.1400 0.0108 0.6534
107 0.0000 0.7262  0.7246 0.0588  2.9161 0.0115 0.4794
108 0.0000 0.7655  0.7626 -0.0169  1.8129 0.0016 0.6268
109 0.0000 0.6200  0.6164 0.0062  0.9041 0.0046 0.5670
110 0.0000 0.8315  0.8298 0.0512  2.4014 0.0002 0.4876
111 0.0000 0.6824  0.6804 0.0174  1.2180 0.0215 0.5070
112 0.0000 0.5732  0.5689 0.0079  0.7562 0.0061 0.5777
113 0.0000 0.3243  0.3194 0.0131  0.5518 0.0033 0.6201
114 0.0000 0.7488  0.7493 -0.0046  1.2527 0.0012 0.6857
115 0.0000 0.7257  0.7236 0.0016  0.8736 0.0023 0.5707
116 0.0000 0.7781  0.7752 0.0110  0.9985 0.0001 0.5134
117 0.0000 0.6272  0.6276 0.0611  1.4179 0.0009 0.5358
118 -106.8400 0.2611  0.2613 -0.0281  3.0660 0.0002 0.6334
119 0.0000 0.4407  0.4385 0.0503  0.9926 0.0292 0.5466
120 0.0000 0.7317  0.7284 0.0414  1.6588 0.0004 0.5116
121 0.0000 0.7306  0.7292 0.0632  2.2221 0.0017 0.2392
122 0.0000 0.6354  0.6337 -0.0134  1.4163 0.0437 0.6779
123 0.0000 0.5985  0.5955 0.0601  0.8343 0.0039 0.3641
124 0.0000 0.7813  0.7799 0.0169  0.7902 0.0001 0.4476
125 0.0000 0.6334  0.6317 0.0013  0.3131 0.0003 0.5929
126 0.0000 0.6905  0.6888 0.0547  2.1309 0.0062 0.4754
127 0.0000 0.2770  0.2741 0.0743  1.2605 0.0047 0.3640
128 0.0000 0.6867  0.6888 0.0202  0.3593 0.0324 0.6011
129 0.0000 0.7771  0.7783 -0.0357  0.4805 0.0039 0.5167
130 0.0000 0.8354  0.8347 0.0402  1.2526 0.0219 0.5089
131 0.0000 0.7577  0.7566 0.0714  1.1841 0.0294 0.4514
132 0.0000 0.2634  0.2614 0.0507  1.2431 0.0213 0.5687
133 0.0000 0.4126  0.4123 0.0606  1.9400 0.0064 0.4137
134 0.0000 0.5526  0.5636 -0.0464  2.3653 0.0007 0.5490
135 0.0000 0.3433  0.3424 0.0287  1.0412 0.0014 0.5310
136 0.0000 0.8526  0.8555 -0.0062  0.3076 0.0010 0.6008
137 0.0000 0.6887  0.6897 0.0234  1.0964 0.0004 0.5707
138 0.0000 0.6620  0.6615 -0.0244  2.3463 0.0003 0.6545
139 0.0000 0.7335  0.7402 -0.0428  0.9945 0.1202 0.6010
140 0.0000 0.7307  0.7305 -0.0189  1.3880 0.0004 0.5648
141 0.0000 0.6340  0.6513 -0.0454  1.6151 0.0153 0.3552
142 0.0000 0.7896  0.7897 0.0241  1.7147 0.0031 0.5682
143 0.0000 0.1553  0.1561 0.0106  2.0720 0.0025 0.4967
144 0.0000 0.8255  0.8300 -0.0359  0.3914 0.0038 0.4197
145 0.0000 0.7253  0.7271 0.0323  0.7145 0.0006 0.5800
146 0.0000 0.6968  0.6971 -0.0100  2.3305 0.0002 0.6778
147 0.0000 0.4645  0.4646 -0.0429  1.2135 0.0207 0.4392
148 0.0000 0.7631  0.7683 -0.0462  0.5670 0.0019 0.2623
149 0.0000 0.8257  0.8280 -0.0189  0.4923 0.0009 0.2855
150 0.0000 0.3004  0.3009 0.0138  2.1469 0.0140 0.4692
151 0.0000 0.8160  0.8184 -0.0029  0.7523 0.0002 0.6855
152 0.0000 0.2909  0.2904 0.0228  0.5208 0.0010 0.5886
153 0.0000 0.6142  0.6162 0.0525  0.9045 0.0111 0.5733
154 0.0000 0.7065  0.7081 -0.0469  1.3126 0.0002 0.5633
155 0.0000 0.7958  0.7966 0.0064  0.6736 0.0014 0.6398
156 0.0000 0.3321  0.3307 0.0617  1.1924 0.0014 0.5523
157 0.0000 0.7151  0.7150 -0.0380  1.7428 0.0000 0.5369
158 0.0000 0.6076  0.6080 0.0732  1.3787 0.0009 0.5567
159 0.0000 0.7298  0.7310 0.0904  0.7940 0.0018 0.5160
160 0.0000 0.7642  0.7680 -0.0133  0.2847 0.0001 0.0985
161 0.0000 0.7338  0.7335 0.0033  1.6222 0.0005 0.6860
162 0.0000 0.4630  0.4609 0.0284  0.6444 0.0019 0.6338
163 0.0000 0.3537  0.3525 0.0938  0.8602 0.0183 0.5726
164 0.0000 0.4504  0.4491 0.0778  0.6723 0.0073 0.6270
165 0.0000 0.1475  0.1458 0.0466  0.4927 0.0244 0.6616
166 0.0000 0.8337  0.8350 0.0050  0.6270 0.0065 0.6777
167 0.0000 0.8648  0.8634 -0.0407  1.4991 0.0039 0.4471
168 0.0000 0.7177  0.7172 -0.0063  1.1193 0.0005 0.6722
169 0.0000 0.6606  0.6661 -0.0185  0.8537 0.0000 0.1230
170 0.0000 0.7556  0.7548 -0.0267  0.7588 0.0046 0.5091
171 0.0000 0.7249  0.7245 0.0390  0.9150 0.0031 0.5436
172 0.0000 0.4880  0.4963 -0.0044  0.9593 0.0000 0.0619
173 0.0000 0.4264  0.4260 0.0126  0.9108 0.0069 0.0492
174 0.0000 0.7828  0.7827 0.0152  1.1299 0.0038 0.1305
175 0.0000 0.7075  0.7083 0.0001  0.2161 0.0265 0.3131
176 0.0000 0.6553  0.6649 -0.0065  1.0254 0.0000 0.0343
177 0.0000 0.7121  0.7195 -0.0204  0.1973 0.0003 0.3473
