Model Type: Base Actor Critic
Window Size: 10
Target KL: 0.002
Max LR: .1
Min LR: 1e-6
Actor Layers: 3
Critic Layers: 3
Action Type: Discrete
Max Positions: 3
Shares To Buy: 1000


step avg_rew ev_before ev_after act_loss crit_loss kl_dist avg_ent
105 -1627.8400 0.0411  0.0598 -0.0170  174.0863 0.0005 0.7525
106 -2043.2600 -0.0847  -0.0846 -0.0120  173.1897 0.0004 0.8209
107 466.1400 -0.0513  -0.0446 0.0003  93.4314 0.0005 0.0310
108 143.8800 0.0804  0.0835 -0.0059  156.5083 0.0041 0.5979
109 -1371.4000 0.1141  0.1112 -0.0199  183.1921 0.0109 0.7838
110 -1134.3900 -0.0297  -0.0272 -0.0051  174.5376 0.0010 0.6737
111 1789.5100 0.0132  0.0168 -0.0072  133.6871 0.0001 0.2589
112 -5897.2800 -0.0435  -0.0434 -0.0151  192.5791 0.0011 0.7615
113 -4253.7800 -0.1295  -0.1292 -0.0255  192.0720 0.0022 0.8210
114 972.8200 0.0184  0.0194 -0.0183  163.0673 0.0053 0.6551
115 -2134.1700 -0.0132  -0.0126 -0.0065  187.8765 0.0049 0.7392
116 -1092.7700 0.0790  0.0798 -0.0182  177.1443 0.0010 0.7436
117 -905.5500 -0.0106  -0.0061 -0.0219  159.9061 0.0004 0.6928
118 3020.5200 -0.0100  -0.0074 0.0112  94.7659 0.0022 0.0877
119 531.2700 -0.0268  -0.0227 -0.0181  146.1429 0.0004 0.7100
120 1591.2700 0.0390  0.0418 -0.0144  154.2637 0.0600 0.6286
121 -5499.7800 -0.0506  -0.0491 -0.0357  205.7586 0.0068 0.6932
122 -3085.7500 0.0190  0.0211 -0.0100  104.6952 0.0008 0.2834
123 991.0400 0.0210  0.0236 -0.0013  171.3177 0.0020 0.6862
124 1811.5800 0.0530  0.0572 -0.0094  150.3974 0.0049 0.2332
125 54.1500 -0.0165  -0.0155 -0.0005  173.8438 0.0015 0.3274
126 339.8100 0.0638  0.0649 -0.0021  158.0731 0.0023 0.5835
127 -4896.1600 -0.0688  -0.0673 -0.0120  193.2609 0.0012 0.6095
128 2266.0800 0.0306  0.0313 -0.0010  139.3979 0.0386 0.4125
129 -4588.0500 -0.0725  -0.0664 -0.0409  196.4748 0.0001 0.5235
130 -6071.2800 -0.0968  -0.0871 -0.0268  192.0024 0.0005 0.6057
131 -3447.7700 -0.0554  -0.0541 -0.0123  170.3699 0.0184 0.6176
