Wall time,Step,Value
1536563956.9834507,586,-4135.83984375
1536563961.8469098,587,-6160.10986328125
1536564032.8541138,602,4262.08984375
1536564116.4281123,620,12.899999618530273
1536564125.5264158,622,54.130001068115234
1536564181.328305,634,-402.4700012207031
1536564213.6012518,641,-227.63999938964844
1536564218.2759244,642,-4791.5498046875
1536564227.579622,644,-2031.43994140625
1536564241.4145646,647,353.2900085449219
1536564250.6061678,649,2104.2099609375
1536564307.7773046,661,2456.550048828125
1536564340.2843506,668,-1722.3299560546875
1536564354.2076082,671,0.0
1536564368.22259,674,1901.219970703125
1536564409.9687107,683,-750.5499877929688
1536564433.7476966,688,-49.689998626708984
1536564555.2843785,714,2137.409912109375
1536564573.666563,718,345.8599853515625
1536564592.1002817,722,-818.1799926757812
1536564596.657418,723,1394.2900390625
1536564628.790397,730,-644.6900024414062
1536564669.9038544,739,-4178.6298828125
1536564688.2669191,743,2277.18994140625
1536564706.6760025,747,932.5
1536564731.09383,752,-6203.5498046875
1536564749.5731611,756,3539.47998046875
1536564791.1391764,765,-2941.93994140625
1536564809.4202447,769,-2.1600000858306885
1536564814.033958,770,-1744.8900146484375
1536564818.6486688,771,2589.919921875
1536564827.9989126,773,41.220001220703125
1536564860.4997816,780,-249.58999633789062
1536564883.4723938,785,1218.6099853515625
1536564892.6072555,787,1478.7900390625
1536564915.4308746,792,1795.010009765625
1536564924.4575193,794,2667.800048828125
1536564943.134478,798,-593.260009765625
1536564963.8106852,802,4243.81982421875
1536564992.2756805,808,4286.169921875
1536564997.0715697,809,-1833.6500244140625
1536565103.6449614,832,3164.6298828125
1536565122.2085886,836,500.7200012207031
1536565277.311876,869,0.0
1536565300.3143427,874,2266.550048828125
1536565309.4753878,876,921.6099853515625
1536565336.9603763,882,0.0
1536565373.7289882,890,-222.85000610351562
1536565401.153842,896,664.3099975585938
1536565419.4889002,900,0.0
1536565453.4161594,907,1573.72998046875
1536565462.5787237,909,0.0
1536565489.9676197,915,0.0
1536565499.1833491,917,2426.4599609375
1536565563.2859037,931,0.0
1536565567.778475,932,0.0
1536565613.8232632,942,0.0
1536565627.6970923,945,0.0
1536565671.6097224,954,0.0
1536565690.092415,958,-2574.9599609375
1536565708.6444554,962,-1374.06005859375
1536565750.2918594,971,0.0
1536565754.870454,972,0.0
1536565782.8728812,978,0.0
1536565787.519384,979,0.0
1536565810.4903657,984,0.0
1536565866.166682,996,0.0
1536565895.7842891,1002,0.0
1536565909.5651584,1005,0.0
1536565951.0621138,1014,0.0
1536565964.871152,1017,-252.52999877929688
1536566001.8266966,1025,0.0
1536566057.1282613,1037,-538.5800170898438
1536566089.3716965,1044,2720.219970703125
1536566150.895255,1057,1940.06005859375
1536566178.1447556,1063,-574.780029296875
1536566191.7300978,1066,1521.3399658203125
1536566200.7932997,1068,4865.47998046875
1536566219.3222568,1072,-597.9299926757812
1536566237.8139737,1076,65.91000366210938
1536566247.1619387,1078,1102.3699951171875
1536566269.9623578,1083,0.0
1536566315.6396832,1093,-461.1000061035156
1536566343.1661575,1099,-2310.97998046875
1536566363.5587642,1103,-28.639999389648438
1536566368.2075498,1104,0.0
1536566414.2127235,1114,3473.699951171875
1536566437.347601,1119,3934.780029296875
1536566610.4543538,1156,0.0
1536566628.6950788,1160,0.0
1536566633.2575247,1161,-364.9800109863281
1536566637.887775,1162,0.0
1536566719.9745932,1180,3771.389892578125
1536566774.6739638,1192,0.0
1536566779.24123,1193,1332.97998046875
1536566806.5355778,1199,2222.93994140625
1536566840.389772,1206,3366.139892578125
1536566958.6562762,1232,0.0
1536566968.1779573,1234,3017.60009765625
1536567014.2963724,1244,-163.11000061035156
1536567067.3308215,1255,0.0
1536567081.408401,1258,0.0
1536567095.3241005,1261,3846.570068359375
1536567188.6084273,1281,883.5999755859375
1536567216.3205895,1287,0.0
1536567248.465281,1294,0.0
1536567276.4602263,1300,-6.579999923706055
1536567323.9990602,1310,0.0
1536567351.7528377,1316,0.0
1536567365.4683998,1319,0.0
1536567415.681909,1330,0.0
1536567429.3419147,1333,0.0
1536567442.9666348,1336,0.0
1536567447.6405096,1337,2631.719970703125
1536567531.6349866,1355,0.0
1536567668.6818938,1385,454.7099914550781
1536567682.3188088,1388,-2369.1201171875
1536567696.0551264,1391,0.0
1536567704.084498,1392,8.40999984741211
1536567809.1162848,1414,-342.82000732421875
1536567865.4863455,1426,2056.3798828125
1536567874.8344417,1428,-1580.8900146484375
1536567893.6665175,1432,1098.780029296875
1536567912.287434,1436,548.4299926757812
1536567930.8245306,1440,0.0
1536568050.555792,1465,-1029.6800537109375
1536568055.1804795,1466,-466.5799865722656
1536568106.1793914,1477,2761.1298828125
1536568143.2304492,1485,0.0
1536568161.6196556,1489,0.0
1536568170.9283354,1491,-2207.739990234375
1536568220.5433762,1501,2228.550048828125
1536568253.1585557,1508,601.75
1536568323.2463706,1523,-1341.68994140625
1536568341.98308,1527,2263.830078125
1536568458.1389437,1551,1773.8900146484375
1536568462.8727362,1552,0.0
1536568538.8372364,1568,5026.60986328125
1536568543.5242941,1569,2582.830078125
